Material;NOBB nummer;Material                          ;Priser 01.04.2017;Enhet;;;
111436;48843552;DEKKPLATE 5-20G BLANK Ø200;618;ST;;;
112660;48843635;DEKKPLATE 5-20G BLANK Ø250;618;ST;;;
113158;45644037;DEKKPLATE 5-20G BLANK Ø300;759;ST;;;
124068;48843646;DEKKPLATE 5-20G BØRSTET Ø250;694;ST;;;
124069;48845205;DEKKPLATE 5-20G BØRSTET Ø300;848;ST;;;
111451;48843563;DEKKPLATE 5-20G GRÅ Ø200;496;ST;;;
111893;47930165;DEKKPLATE 5-20G GRÅ Ø250;496;ST;;;
112401;51016045;DEKKPLATE 5-20G GRÅ Ø300;605;ST;;;
111418;47930154;DEKKPLATE 5-20G HVIT Ø200;496;ST;;;
111879;;DEKKPLATE 5-20G HVIT Ø250;496;ST;;;
112398;51016053;DEKKPLATE 5-20G HVIT Ø300;605;ST;;;
111430;47978212;DEKKPLATE 5-20G SORT Ø200;496;ST;;;
111892;41612623;DEKKPLATE 5-20G SORT Ø250;496;ST;;;
112395;51016034;DEKKPLATE 5-20G SORT Ø300;605;ST;;;
112837;51076972;DEKKPLATE 5-20G SORT Ø350;717;ST;;;
112035;;DEKKPLATE 5-20GR Ø230 SORT;506;ST;;;
114804;;DEKKPLATE TODELT 30-45GR Ø400 BLANK;824;ST;;;
133441;;DEKKPLATE TODELT 31-45GR Ø550 BLANK;1398;ST;;;
110825;;DEKKRING 0GR Ø180 SORT;308;ST;;;
110906;48843692;DEKKRING BLANK Ø200;426;ST;;;
112518;51016261;DEKKRING BLANK Ø250;464;ST;;;
113004;45643992;DEKKRING BLANK Ø300;581;ST;;;
111351;48843718;DEKKRING BØRSTET Ø250;565;ST;;;
111731;48843722;DEKKRING BØRSTET Ø300;652;ST;;;
110911;47930146;DEKKRING GRÅ Ø200;342;ST;;;
111345;50699180;DEKKRING GRÅ Ø250;404;ST;;;
111726;51016238;DEKKRING GRÅ Ø300;465;ST;;;
112210;49605776;DEKKRING GRÅ Ø350;557;ST;;;
110912;;DEKKRING HVIT Ø200;342;ST;;;
111349;51016212;DEKKRING HVIT Ø250;404;ST;;;
111725;51016242;DEKKRING HVIT Ø300;465;ST;;;
112211;49605780;DEKKRING HVIT Ø350;557;ST;;;
100950;;DEKKRING KONISK 350/790/-/304/BLANK;717;ST;;;
101584;;DEKKRING KONISK Ø550 BLANK;1398;ST;;;
110908;51016193;DEKKRING SORT Ø200;342;ST;;;
111344;51016204;DEKKRING SORT Ø250;404;ST;;;
111724;51016223;DEKKRING SORT Ø300;465;ST;;;
112212;47521876;DEKKRING SORT Ø350;557;ST;;;
111174;;DEKKRING Ø230 SORT;376;ST;;;
135298;25675323;DELESETT VINSJ KOMPLETT;4195;ST;;;
135346;44389573;DIAMANT KJERNEBOR Ø102;1949;ST;;;
136951;27813989;DIAMANT KJERNEBOR Ø150-Ø125;3863;ST;;;
136950;27813971;DIAMANT KJERNEBOR Ø160-Ø150;3863;ST;;;
136949;40998296;DIAMANT KJERNEBOR Ø208-Ø175;5024;ST;;;
136948;40998304;DIAMANTKJERNEBOR Ø226-Ø200;5024;ST;;;
136979;27813104;DREGG Ø16;1949;ST;;;
136978;42251345;DREGG Ø20;1949;ST;;;
146652;51066362;DØR KOMPLETT M/GLASS CURVE S MG10-131;7222;ST;;;
146654;51066381;DØR KOMPLETT M/GLASS RADIUS 100 7076-008;10998;ST;;;
146655;51066396;DØR KOMPLETT M/GLASS RADIUS 300 7076-007;13974;ST;;;
102731;46415997;DØRSTEIN 18X18;144;ST;;;
100312;25417916;DØRSTEIN 18X30;144;ST;;;
102942;25675166;EKSPANSJONSBLIKK Ø12;403;ST;;;
102560;25675174;EKSPANSJONSBLIKK Ø14;454;ST;;;
102944;25675182;EKSPANSJONSBLIKK Ø16;599;ST;;;
102945;25675190;EKSPANSJONSBLIKK Ø18;556;ST;;;
102946;25675208;EKSPANSJONSBLIKK Ø20;607;ST;;;
102565;25675216;EKSPANSJONSBLIKK Ø25;658;ST;;;
149847;51952112;ELEMENT HØY JUPITER INKL BRANNMUR;651;ST;Ingen endring;;
149846;51952104;ELEMENT HØY MARS INKL BRANNMUR;832;ST;Ingen endring;;
149841;51952055;ELEMENT HØY MERKUR INKL BRANNMUR;832;ST;Ingen endring;;
149843;51952074;ELEMENT HØY SATURN INKL BRANNMUR;1258;ST;Ingen endring;;
149842;51952066;ELEMENT HØY TELLUS INKL BRANNMUR;832;ST;Ingen endring;;
149844;51952085;ELEMENT HØY URANUS INKL BRANNMUR;1258;ST;Ingen endring;;
149845;51952093;ELEMENT HØY VENUS INKL BRANNMUR;749;ST;Ingen endring;;
135092;;ELEMENT MED ALUMINIUM SOTLUKE DM 54;1961;ST;;;
135322;;ENKELHEIS TIL Ø20 FORINGSRØR ISOKERN;1240;ST;;;
135024;42169237;ETASJE ELEMENT 40X40X266CM;9801;ST;;;
135025;42169241;ETASJE ELEMENT 40X40X314CM;10899;ST;;;
135022;44375164;ETASJE ELEMENT M/BSV 40X40X121CM;5131;ST;;;
135023;42169222;ETASJE ELEMENT M/BSV 40X40X217CM;7547;ST;;;
133462;47262441;ETASJE START 18X18 40X40X550CM;20103;ST;;;
108946;45473332;ETASJEPIPE KINGFIRE 2,64;52964;ST;;;
940000290;;ETASJEPIPE KINGFIRE SHOPINSHOP 2,4M;12239;ST;;;
142479;51531824;FEIELUKERØR 455MM Ø150 GRÅ PMS50;2433;ST;;;
142483;51531858;FEIELUKERØR 455MM Ø150 HVIT PMS50;2433;ST;;;
142475;51531805;FEIELUKERØR 455MM Ø150 SORT PMS50;2433;ST;;;
142481;51531832;FEIELUKERØR 455MM Ø200 GRÅ PMS50;3260;ST;;;
142485;51531843;FEIELUKERØR 455MM Ø200 HVIT PMS50;3260;ST;;;
142477;51531813;FEIELUKERØR 455MM Ø200 SORT PMS50;3260;ST;;;
112534;27810191;FEIELUKERØR FOR FEIELUKE Ø100 PPL;762;ST;;;
112957;27810225;FEIELUKERØR FOR FEIELUKE Ø130 PPL;825;ST;;;
113193;27810233;FEIELUKERØR FOR FEIELUKE Ø150 PPL;935;ST;;;
113550;27810266;FEIELUKERØR FOR FEIELUKE Ø180 PPL;1003;ST;;;
114358;27810274;FEIELUKERØR FOR FEIELUKE Ø200 PPL;1056;ST;;;
136981;25392473;FEIEPLATÅ 820 SORT;1430;ST;;;
136944;24096844;FIBERPAKNING FLYTENDE 310ML;198;ST;;;
113564;27814003;FIRKANTRØR 16X16X50;228;ST;;;
113807;;FIRKANTRØR 20X20X50;377;ST;;;
115599;27813054;FIRKANTRØR 25X25X50;405;ST;;;
136955;;FLENS FOR STÅLPIPE Ø150MM FR2;1409;ST;;;
136954;;FLENS FOR STÅLPIPE Ø150MM FR3;1474;ST;;;
136135;;FLEX OVAL STARTKOBLING 110X155MM;953;ST;;;
111013;27810936;FLEXIBELT STÅLRØR Ø100 FLEX;358;M;;;
106935;;FLEXIBELT STÅLRØR Ø120 FLEX;524;M;;;
112084;27810969;FLEXIBELT STÅLRØR Ø130 FLEX;524;M;;;
112548;27887108;FLEXIBELT STÅLRØR Ø150 FLEX;653;M;;;
113087;27887090;FLEXIBELT STÅLRØR Ø180 FLEX;810;M;;;
113405;48150003;FLEXIBELT STÅLRØR Ø200 FLEX;890;M;;;
106889;;FLEXIBELT STÅLRØR Ø250 FLEX;1328;M;;;
106890;;FLEXIBELT STÅLRØR Ø300 FLEX;1512;M;;;
135548;22748438;FLEXIROLL TETTEBÅND 5000/900 SORT;491;RUL;;;
135126;41433632;FLEXIRØR MED KLEMMER 100MM;437;ST;;;
135122;45571025;FLEXIRØR MED KLEMMER 80MM;425;ST;;;
145478;51052536;FLEXIRØR MED KLEMMER Ø150MM;534;ST;;;
112037;;FORANKRINGSRING (2) TAKFESTE 200 BLANK;487;ST;;;
112870;;FORANKRINGSRING (2) TAKFESTE 350 BLANK;507;ST;;;
111603;45937946;FORBLENDING BUNN SORT Ø150 PMV50;659;ST;;;
110805;45937954;FORBLENDING TOPP SORT Ø150 PMV50;659;ST;;;
131621;48017272;FORBLENDINGSLOKK BUNN SORT Ø250;571;ST;;;
141932;49591322;FORBLENDINGSLOKK BUNN Ø350 SORT;856;ST;;;
137758;;FORBLENDINGSLOKK TOPP SORT Ø150 PM50;581;ST;;;
141931;49591318;FORBLENDINGSLOKK TOPP Ø350 GALV;856;ST;;;
129927;;FORINGSRØR 100CM Ø50 ISOKERN;1883;ST;;;
100040;27811454;FORINGSRØR 1330MM Ø18 KERANOVA;796;ST;;;
127715;;FORINGSRØR 225X285X600 ISOKERN;251;ST;;;
126369;;FORINGSRØR 25CM Ø15 DM;100;ST;;;
127683;51066472;FORINGSRØR 30CM Ø20 DM;161;ST;;;
129033;;FORINGSRØR 30CM Ø30 DM;170;ST;;;
100376;21772025;FORINGSRØR 33 CM Ø20;154;ST;;;
100311;25417767;FORINGSRØR 33 CM Ø30;296;ST;;;
103857;25675125;FORINGSRØR 33CM Ø12;122;ST;;;
100373;25417288;FORINGSRØR 33CM Ø14;133;ST;;;
100374;21771894;FORINGSRØR 33CM Ø16;141;ST;;;
100375;25675133;FORINGSRØR 33CM Ø18;152;ST;;;
100310;23101975;FORINGSRØR 33CM Ø25;241;ST;;;
127685;;FORINGSRØR 60CM Ø20 ISOKERN;284;ST;;;
126368;50876677;FORINGSRØR FOR SOTLUKE Ø15 ISOKERN;304;ST;;;
128546;;FORINGSRØR M/FALS 250x310x600 ISOKERN;387;ST;;;
126372;;FORINGSRØR M/FALS 60CM Ø15 ISOKERN;240;ST;;;
126498;;FORINGSRØR M/FALS 60CMØ17,5 ISOKERN;263;ST;;;
129031;;FORINGSRØR START 15CM Ø30 DM;311;ST;;;
135193;50876658;FORINGSRØR START Ø15 19,5CM ISOKERN;237;ST;;;
126489;;FORINGSRØR U/FALS 60CM Ø17 ISOKERN;240;ST;;;
127682;;FORINGSRØRSETT TIL SOTLUKE DM Ø20;365;ST;;;
142616;48134032;FORLENGER KOMPLETT BESLAG 1500MM SORT;1896;ST;;;
121339;48129404;FORLENGER L-RØR SORT Ø150 PMV25;552;ST;;;
142868;51934165;FORLENGER TIL FEIELUKE PPL;159;ST;;;
142370;50990217;FORLENGER TILLUFT BLANK Ø150 PMV;373;ST;;;
142368;50990198;FORLENGER TILLUFT GRÅ Ø150 PMV;298;ST;;;
142369;50990202;FORLENGER TILLUFT HVIT Ø150 PMV;298;ST;;;
110980;45644544;FORLENGER TILLUFT RUND BLANK Ø150 PMV;337;ST;;;
110976;45644563;FORLENGER TILLUFT RUND GRÅ Ø150 PMV;268;ST;;;
110981;45644578;FORLENGER TILLUFT RUND HVIT Ø150 PMV;268;ST;;;
110978;45644552;FORLENGER TILLUFT RUND SORT Ø150 PMV;268;ST;;;
142367;50990183;FORLENGER TILLUFT SORT Ø150 PMV;298;ST;;;
114553;43670336;FORLENGER UISOLERT 1000MM SORT Ø150;895;ST;;;
110724;43670317;FORLENGER UISOLERT 250MM SORT Ø150;292;ST;;;
111975;43670321;FORLENGER UISOLERT 500MM SORT Ø150;496;ST;;;
101739;;FORLENGER VEGGFORANKRING 450MM L2 BLANK;973;ST;;;
146656;51066275;FRONTGLASS DØR CURVE 100/300G IG10-051;6776;ST;;;
146653;51066377;FRONTGLASS DØR CURVE 100/300S IG10-071;6776;ST;;;
146658;51066294;FRONTGLASS DØR RADIUS 100 7076-126;5000;ST;;;
146659;51066305;FRONTGLASS DØR RADIUS 300 7076-125;11531;ST;;;
100381;45991154;FRONTPLATE Ø12-Ø16;275;PAR;;;
100382;45991165;FRONTPLATE Ø18-Ø20;275;PAR;;;
100383;45991173;FRONTPLATE Ø25;325;PAR;;;
100384;25675927;FRONTPLATE Ø30;325;ST;;;
101441;;FUGEGLATTER Ø18 KERANOVA;390;ST;;;
135302;23092869;FUGEKITT 1000ML;336;ST;;;
100020;27813096;FUGEKITT 310ML;79;ST;;;
105002;;FUNDAMEAMENTSPLATE Ø250 BLANK ICS50;4060;ST;;;
104999;;FUNDAMENTPLATE BLANK Ø150 ICS50;1942;ST;;;
101078;;FUNDAMENTSPL 350/199/0,5/316/BLANK/ICS25;2214;ST;;;
101075;;FUNDAMENTSPLATE 200/199/0,5 BLANK ICS25;2049;ST;;;
101077;;FUNDAMENTSPLATE 300/199/0,5 BLANK ICS25;2459;ST;;;
121155;;FUNDAMENTSPLATE 350/0,6/444/SORT/PM50;2981;ST;;;
101081;;FUNDAMENTSPLATE 500/200/0,6 BLANK ICS25;3853;ST;;;
117217;47930358;FUNDAMENTSPLATE GRÅ Ø150 PM50;1689;ST;;;
117826;48843760;FUNDAMENTSPLATE GRÅ Ø200 PM50;2037;ST;;;
117213;48843756;FUNDAMENTSPLATE HVIT Ø150 PM50;1689;ST;;;
117828;48843775;FUNDAMENTSPLATE HVIT Ø200 PM50;2037;ST;;;
101080;;FUNDAMENTSPLATE ICS25 Ø450 BLANK;3838;ST;;;
115161;;FUNDAMENTSPLATE SORT Ø150 PM25;1383;ST;;;
117216;44048037;FUNDAMENTSPLATE SORT Ø150 PM50;1689;ST;;;
117827;47522205;FUNDAMENTSPLATE SORT Ø200 PM50;2037;ST;;;
118210;47522213;FUNDAMENTSPLATE SORT Ø250 PM50;2442;ST;;;
101079;;FUNDAMENTSPLATE Ø400 BLANK ICS25;3056;ST;;;
146649;51066241;FYRBUNN CURVE 7G06-201;845;ST;;;
149800;51934222;GLASSPLATE JUPITER L-FORM 900X900MM;1500;ST;Ingen endring;;
149799;51934218;GLASSPLATE MARS 700X400MM;1250;ST;Ingen endring;;
149795;51934173;GLASSPLATE MERKUR 800X300MM;1250;ST;Ingen endring;;
149797;51934192;GLASSPLATE SATURN/URANUS 1200X350MM;1250;ST;Ingen endring;;
149796;51934184;GLASSPLATE TELLUS 1000X300MM;1250;ST;Ingen endring;;
149798;51934203;GLASSPLATE VENUS 600X400MM;1250;ST;Ingen endring;;
133288;21771944;GRUNNPAKKE Ø16 RONDO;1668;ST;;;
135129;46452802;GRUNNPAKKE Ø16 SV;1743;ST;;;
135165;21772082;GRUNNPAKKE Ø20 RONDO;1917;ST;;;
135131;46452840;GRUNNPAKKE Ø20 SV;2060;ST;;;
135186;25417742;GRUNNPAKKE Ø25 RONDO;2560;ST;;;
114993; 	46 436 505,00 ;GULVFORANKRING SORT Ø250;917;ST;;;
115133;46436513;GULVFORANKRING SORT Ø300;941;ST;;;
115433;49591534;GULVFORANKRING Ø350;1155;ST;;;
143002;49576966;GULVPLATE KLAR;550;ST;;;
146773;51156632;GULVPLATE SORT;550;ST;;;
142606;49557056;GULVSTATIV WOODFOOD;3060;ST;;;
135576;;GUMMILIST NY DEKKPLATE SVART;38;M;;;
135260;;HEKLA PEIS M/BAKUTTAK;11619;ST;;;
135261;45646932;HEKLA PEIS M/PIPE;11720;ST;;;
135259;;HEKLA PEIS M/TOPPUTTAK;11619;ST;;;
136980;47550924;HULLBOR Ø80;1097;ST;;;
146650;51066256;HÅNDTAK CURVE BØRSTET;1301;ST;;;
136985;48138595;HÅNDTAK CURVE SORT 7G10-912B;490;ST;;;
146651;51066260;HÅNDTAK RADIUS BØRSTET 7076-018;1301;ST;;;
136988;47979960;HÅNDTAK RADIUS SORT 7G08-751;490;ST;;;
130753;27813948;ILDFAST LIM TIL STEIN 20 KG;550;ST;;;
135851;27813955;ILDFAST MØRTEL REPERASJONER 25KG;679;ST;;;
135303;;"ILDFAST STEIN / MAGNUM 30""";1905;ST;;;
135323;;"ILDFAST STEIN / MAGNUM 36""";2822;ST;;;
135331;;"ILDFAST STEIN / MAGNUM 42""";3117;ST;;;
135333;;"ILDFAST STEIN / MAGNUM 48""";3721;ST;;;
112562;27813740;ILDFAST STEIN 230X114X25;32;ST;;;
113416;27813757;ILDFAST STEIN 230X114X32;36;ST;;;
115281;27813765;ILDFAST STEIN 230X114X50;45;ST;;;
116212;27813914;ILDFAST STEIN 230X114X64;50;ST;;;
149861;51953652;INNFELTRAMME TILLEGG A-TYPE;2556;ST;Ingen endring;;
136983;23812209;INNFESTNINGSPAKKE;588;ST;;;
148718;51538760;INNSATS 470 1 SIDEG H/H TLB RF;32984;ST;Ingen endring;;
148630;51537882;INNSATS 470 1 SIDEG H/H TLB SORT;28191;ST;Ingen endring;;
148717;51538756;INNSATS 470 1 SIDEG H/H TLT RF;32984;ST;Ingen endring;;
148629;51537878;INNSATS 470 1 SIDEG H/H TLT SORT;28191;ST;Ingen endring;;
